date,description,amount
2025-03-01,UNITED AIRLINES 016-8472639,485.00
2025-03-02,MARRIOTT HOTEL NYC,289.00
2025-03-03,UBER *TRIP NYC,22.50
2025-03-04,SHAKE SHACK TIMES SQ,18.90
2025-03-05,AMERICAN AIRLINES AA.COM,625.00
2025-03-06,HILTON GARDEN INN,198.50
2025-03-07,LYFT *RIDE BOS,16.75
2025-03-08,DUNKIN DONUTS #4567,8.40
2025-03-10,DELTA AIR 006-2948571,410.00
2025-03-11,HERTZ RENT A CAR,156.80
2025-03-12,CHEVRON STATION,48.00
2025-03-13,RUTH'S CHRIS STEAK,125.60
2025-03-15,JETBLUE AIRWAYS,295.00
2025-03-16,UBER *TRIP LAX,35.20
2025-03-17,IN-N-OUT BURGER,12.45
2025-03-18,APPLE.COM/BILL,299.00
2025-03-19,UBER *EATS ORDER,32.50
2025-03-20,CON EDISON UTILITY,156.75
2025-03-22,WHOLE FOODS,45.60
2025-03-23,SOUTHWEST AIR 526-9384756,185.00
2025-03-25,STARBUCKS RESERVE,14.50
2025-03-27,NORDSTROM #0567,178.90
2025-03-28,UBER *TRIP SFO,28.40
2025-03-30,NOBU RESTAURANT,215.00
