date,description,amount
2025-05-01,SHELL OIL 57493829,58.00
2025-05-02,CHIPOTLE MEXICAN GRILL,14.50
2025-05-03,WHOLE FOODS MKT #10250,125.30
2025-05-04,CHEVRON STATION 94832,62.00
2025-05-06,OUTBACK STEAKHOUSE,72.50
2025-05-07,UBER *TRIP MORNING,18.75
2025-05-08,STARBUCKS STORE 12345,6.25
2025-05-09,EXXON MOBIL 28374652,55.50
2025-05-10,THE CHEESECAKE FACTORY,85.00
2025-05-11,COSTCO WHOLESALE,234.50
2025-05-12,BP GAS STATION,48.00
2025-05-14,FIVE GUYS BURGERS FRIES,19.75
2025-05-15,SOUTHERN CALIFORNIA GAS,156.00
2025-05-16,SHELL OIL 57493829,60.00
2025-05-17,BUFFALO WILD WINGS,45.50
2025-05-18,TRADER JOES #235,89.40
2025-05-19,CHEVRON STATION 94832,52.00
2025-05-21,TEXAS ROADHOUSE,68.90
2025-05-22,LYFT *RIDE FRI 8PM,22.50
2025-05-23,SAFEWAY STORE 2891,112.60
2025-05-24,SHELL OIL 57493829,57.00
2025-05-25,PANERA BREAD #1234,16.80
2025-05-26,PG&E UTILITY PAYMENT,185.00
2025-05-27,ARCO GAS STATION,45.00
2025-05-28,CHIPOTLE MEXICAN GRILL,12.90
2025-05-29,TARGET STORE T-0456,156.70
2025-05-30,BP GAS STATION,51.00
2025-05-31,RED LOBSTER RESTAURANT,92.00
