date,description,amount
2025-02-01,PG&E UTILITY PAYMENT,142.50
2025-02-02,LYFT *RIDE FRI 6PM,18.75
2025-02-04,TRADER JOES #235,78.90
2025-02-05,SOUTHWEST AIR 123-4567890,165.00
2025-02-06,AMAZON.COM AMZN.COM/BILL,89.45
2025-02-08,SHELL OIL 28374652,52.00
2025-02-09,PANERA BREAD #1234,14.25
2025-02-11,TARGET STORE T-0456,124.30
2025-02-12,UBER *TRIP SAT 8AM,12.50
2025-02-14,THE OLIVE GARDEN,58.75
2025-02-15,SAFEWAY STORE 2891,103.20
2025-02-17,BEST BUY STORE 1234,256.00
2025-02-18,STARBUCKS STORE 67890,7.85
2025-02-20,BP GAS STATION,45.50
2025-02-21,CHIPOTLE MEXICAN GRILL,11.90
2025-02-23,WHOLE FOODS MKT #10789,67.40
2025-02-24,LYFT *RIDE MON 9AM,15.20
2025-02-26,NETFLIX.COM,15.99
2025-02-27,COSTCO WHOLESALE,187.65
2025-02-28,DUKE ENERGY,98.30
